query,url,title,snippet,text_sample,position,relevant,click
Quanto psa lisola di plastica,https://www.green.it/tag/isola-di-plastica/,Isola di plastica - green.it,"L'isola di plastica, o Pacific Trash Vortex, è un'enorme isola di rifiuti che si è formata a partire dagli anni Cinquanta nell'Oceano Pacifico. La sua estensione è stimata fra le 700.000 e i 10 milioni di chilometri quadrati.","Isola di plastica - green.it. L'isola di plastica, o Pacific Trash Vortex, è un'enorme isola di rifiuti che si è formata a partire dagli anni Cinquanta nell'Oceano Pacifico. La sua estensione è stimata fra le 700.000 e i 10 milioni di chilometri quadrati.",1,NR,NC
Quanto psa lisola di plastica,https://www.green.it/quanto-pesa-lisola-plastica-pacifico/,Quanto pesa l'Isola di Plastica del Pacifico? - Green.it,"UNA DISCARICA IN PIENO OCEANO. Un enorme ammasso di rifiuti galleggia nelle acque del Pacifico, approssimativamente tra il 135º e il 155º meridiano Ovest e fra il 35º e il 42º parallelo Nord.Abbiamo già parlato dell’immonda isola che prende il nome di Pacific Trash Vortex: la sua estensione non è nota con precisione, e nemmeno il suo peso è mai stato calcolato, almeno fino ad oggi.","Quanto pesa l'Isola di Plastica del Pacifico? - Green.it. UNA DISCARICA IN PIENO OCEANO. Un enorme ammasso di rifiuti galleggia nelle acque del Pacifico, approssimativamente tra il 135º e il 155º meridiano Ovest e fra il 35º e il 42º parallelo Nord.Abbiamo già parlato dell’immonda isola che prende il nome di Pacific Trash Vortex: la sua estensione non è nota con precisione, e nemmeno il suo peso è mai stato calcolato, almeno fino ad oggi.",2,NR,NC
Quanto psa lisola di plastica,https://www.lifegate.it/persone/news/quanto-pesa-lisola-di-plastica-del-pacifico,Pacific Trash Vortex. L'isola di plastica nel Pacifico ...,"Quanto pesa la plastica in mare Le nuove stime, che secondo altri scienziati, come gli ecologi dell’Univesità spagnola di Cadice, sarebbero eccessive perché basate troppo sulla mappatura visiva dei rifiuti, indicano la presenza di circa 5.250 miliardi di detriti di plastica, del peso complessivo di circa 269 mila tonnellate. Quasi il 75 per ...","Pacific Trash Vortex. L'isola di plastica nel Pacifico .... Quanto pesa la plastica in mare Le nuove stime, che secondo altri scienziati, come gli ecologi dell’Univesità spagnola di Cadice, sarebbero eccessive perché basate troppo sulla mappatura visiva dei rifiuti, indicano la presenza di circa 5.250 miliardi di detriti di plastica, del peso complessivo di circa 269 mila tonnellate. Quasi il 75 per ...",3,NR,NC
Quanto psa lisola di plastica,https://www.youtube.com/watch?v=ZgRsgmWTIJQ,Nell'Oceano Pacifico galleggia un'isola di plastica grande ...,Nelle acque dell’Oceano Pacifico tra la California e le Hawaii galleggia una gigantesca isola di plastica. È grande tre volte la Francia ed è formata da oggetti risalenti anche agli anni ’70.,Nell'Oceano Pacifico galleggia un'isola di plastica grande .... Nelle acque dell’Oceano Pacifico tra la California e le Hawaii galleggia una gigantesca isola di plastica. È grande tre volte la Francia ed è formata da oggetti risalenti anche agli anni ’70.,4,NR,NC
Quanto psa lisola di plastica,https://www.repubblica.it/ambiente/2018/03/22/foto/pacifico_com_e_grande_l_isola_di_plastica-191961405/1/,Pacifico: com'è grande l'isola di plastica - Repubblica.it,"L'hanno chiamata ""Great Pacific Garbage Patch"" (GPGP), o anche ""trash vortex"", ed è 10-16 volte più grande di quanto non Repubblica.it Pacifico: com'è grande l'isola di plastica","Pacifico: com'è grande l'isola di plastica - Repubblica.it. L'hanno chiamata ""Great Pacific Garbage Patch"" (GPGP), o anche ""trash vortex"", ed è 10-16 volte più grande di quanto non Repubblica.it Pacifico: com'è grande l'isola di plastica",5,NR,NC
Quanto psa lisola di plastica,http://www.meteoweb.eu/2018/03/inquinamento-oceani-isola-plastica/1070775/,Inquinamento: la più grande isola ... - meteoweb.eu,"La più grande isola di rifiuti oceanici del mondo sta crescendo. Nota come Great Pacific Garbage Patch, è una raccolta galleggiante di rifiuti di plastica che si trova tra le Hawaii e la ...","Inquinamento: la più grande isola ... - meteoweb.eu. La più grande isola di rifiuti oceanici del mondo sta crescendo. Nota come Great Pacific Garbage Patch, è una raccolta galleggiante di rifiuti di plastica che si trova tra le Hawaii e la ...",6,R,C
Quanto psa lisola di plastica,http://www.meteoweb.eu/2018/03/inquinamento-oceani-isola-plastica/1070775/,Inquinamento: la più grande isola galleggiante di rifiuti ...,"L’isola non è una solida massa di plastica. Include circa 1.800 miliardi di detriti e pesa 88.000 tonnellate, l’equivalente di 500 Jumbo Jet. Queste nuove stime sono 16 volte più alte delle ...","Inquinamento: la più grande isola galleggiante di rifiuti .... L’isola non è una solida massa di plastica. Include circa 1.800 miliardi di detriti e pesa 88.000 tonnellate, l’equivalente di 500 Jumbo Jet. Queste nuove stime sono 16 volte più alte delle ...",7,NR,C
Quanto psa lisola di plastica,http://www.nationalgeographic.it/ambiente/2018/04/04/news/isola_di_plastica_del_pacifico_pulirla_non_risolvera_il_problema-3928421/,"Isola di plastica del Pacifico, pulirla non risolverà il ...","Nel 2013 il giovane olandese Boyat Slat crea la fondazione Ocean Cleanup con l'obiettivo di ripulire l'isola di plastica. Utilizzando una serie di dispositivi composti di braccia galleggianti che sfruttano le correnti oceaniche, promette di rimuovere il 50% della plastica intrappolata nel vortice del Pacifico del Nord in 5 anni.","Isola di plastica del Pacifico, pulirla non risolverà il .... Nel 2013 il giovane olandese Boyat Slat crea la fondazione Ocean Cleanup con l'obiettivo di ripulire l'isola di plastica. Utilizzando una serie di dispositivi composti di braccia galleggianti che sfruttano le correnti oceaniche, promette di rimuovere il 50% della plastica intrappolata nel vortice del Pacifico del Nord in 5 anni.",8,NR,NC
Quanto psa lisola di plastica,https://www.youtube.com/watch?v=-42fy_-1O7g,Scoperto Un Nuovo Continente Nel Mezzo Dell'Oceano ...,"La quantità di plastica da imballaggio prodotta in un anno, basterebbe a ricoprire l'intero pianeta lungo l'equatore. 500 miliardi di bicchieri di plastica usa e getta vengono usati ogni anno.","Scoperto Un Nuovo Continente Nel Mezzo Dell'Oceano .... La quantità di plastica da imballaggio prodotta in un anno, basterebbe a ricoprire l'intero pianeta lungo l'equatore. 500 miliardi di bicchieri di plastica usa e getta vengono usati ogni anno.",9,NR,NC
Quanto psa lisola di plastica,https://it.wikipedia.org/wiki/Pacific_Trash_Vortex,Pacific Trash Vortex - Wikipedia,"In alcuni campioni di acqua marina prelevati nel 2001, il rapporto tra la quantità di plastica e quella dello zooplancton, la vita animale dominante dell'area, era superiore a sei parti di plastica per ogni parte di zooplancton. L'isola costituisce un nuovo ecosistema dove la plastica è colonizzata da circa mille tipi diversi di organismi ...","Pacific Trash Vortex - Wikipedia. In alcuni campioni di acqua marina prelevati nel 2001, il rapporto tra la quantità di plastica e quella dello zooplancton, la vita animale dominante dell'area, era superiore a sei parti di plastica per ogni parte di zooplancton. L'isola costituisce un nuovo ecosistema dove la plastica è colonizzata da circa mille tipi diversi di organismi ...",10,NR,NC
I ghiacciai in via di estinzione,https://trekking.it/news/ghiacciai-specie-in-estinzione.html,"Ghiacciai, specie in estinzione | Trekking.it","Un esempio per tutti: la Groenlandia rappresenta, con i suoi immensi ghiacciai, la più grande riserva d’acqua dolce della Terra.I grandi inquinatori planetari, sostenuti dall’attuale governo americano, fatalmente ammaliato dal fascino della speculazione sui combustibili fossili, ha sempre minimizzato, dopo averla a lungo negata, la relazione tra emissioni in atmosfera e riscaldamento globale.","Ghiacciai, specie in estinzione | Trekking.it. Un esempio per tutti: la Groenlandia rappresenta, con i suoi immensi ghiacciai, la più grande riserva d’acqua dolce della Terra.I grandi inquinatori planetari, sostenuti dall’attuale governo americano, fatalmente ammaliato dal fascino della speculazione sui combustibili fossili, ha sempre minimizzato, dopo averla a lungo negata, la relazione tra emissioni in atmosfera e riscaldamento globale.",1,R,C
I ghiacciai in via di estinzione,https://www.ohga.it/animali-in-via-di-estinzione-un-patrimonio-da-difendere-ogni-giorno/,Animali in via di estinzione: le 7 specie da difendere | Ohga!,"A spiegarlo è uno studio pubblicato l’anno scorso sulla rivista scientifica Pnas, che parla addirittura di una drammatica “sesta estinzione globale”. Sono infatti sempre di più le specie animali in via di estinzione che, a causa del bracconaggio o della scomparsa del loro habitat naturale, rischiano di sparire dal nostro pianeta.","Animali in via di estinzione: le 7 specie da difendere | Ohga!. A spiegarlo è uno studio pubblicato l’anno scorso sulla rivista scientifica Pnas, che parla addirittura di una drammatica “sesta estinzione globale”. Sono infatti sempre di più le specie animali in via di estinzione che, a causa del bracconaggio o della scomparsa del loro habitat naturale, rischiano di sparire dal nostro pianeta.",2,NR,NC
I ghiacciai in via di estinzione,http://www.meteoweb.eu/2019/04/ghiacciai-estinzione/1247730/,Ghiacciai in via di estinzione: persi 9 trilioni di ...,"Ghiacciai in via di estinzione: persi 9 trilioni di tonnellate di ghiaccio in mezzo secolo Le maggiori perdite regionali sono in Alaska, seguito dai ghiacciai intorno al bordo della calotta di ...","Ghiacciai in via di estinzione: persi 9 trilioni di .... Ghiacciai in via di estinzione: persi 9 trilioni di tonnellate di ghiaccio in mezzo secolo Le maggiori perdite regionali sono in Alaska, seguito dai ghiacciai intorno al bordo della calotta di ...",3,R,C
I ghiacciai in via di estinzione,https://www.genteditalia.org/2019/10/01/i-ghiacciai-delle-alpi-italiane-sono-in-via-di-estinzione/,I ghiacciai delle Alpi italiane sono in via di estinzione,"Nei giorni di massima apprensione per le sorti del Planpincieux, il ghiacciaio del Monte Bianco che si sta sgretolando giorno dopo giorno","I ghiacciai delle Alpi italiane sono in via di estinzione. Nei giorni di massima apprensione per le sorti del Planpincieux, il ghiacciaio del Monte Bianco che si sta sgretolando giorno dopo giorno",4,NR,NC
I ghiacciai in via di estinzione,https://www.ilsole24ore.com/art/cambiamenti-climatici-ghiacciai-alpi-italiane-via-estinzione-ACkeEJn,"Cambiamenti climatici, i ghiacciai delle Alpi italiane in ...","ALLARME LEGAMBIENTE. Cambiamenti climatici, i ghiacciai delle Alpi italiane in via di estinzione Legambiente ha organizzato una tre giorni di «veglie funebri» dedicata ad altre masse di ghiaccio ...","Cambiamenti climatici, i ghiacciai delle Alpi italiane in .... ALLARME LEGAMBIENTE. Cambiamenti climatici, i ghiacciai delle Alpi italiane in via di estinzione Legambiente ha organizzato una tre giorni di «veglie funebri» dedicata ad altre masse di ghiaccio ...",5,NR,NC
I ghiacciai in via di estinzione,https://www.youtube.com/watch?v=fXZ1sUQJnps,I ghiacciai alpini in via d'estinzione - YouTube,Lo scorso agosto è stato il secondo più caldo mai registrato. E gli effetti cominciano a farsi sentire.… ALTRE INFORMAZIONI : https://it.euronews.com/2019/09...,I ghiacciai alpini in via d'estinzione - YouTube. Lo scorso agosto è stato il secondo più caldo mai registrato. E gli effetti cominciano a farsi sentire.… ALTRE INFORMAZIONI : https://it.euronews.com/2019/09...,6,NR,NC
I ghiacciai in via di estinzione,https://it.euronews.com/2019/09/16/i-ghiacciai-alpini-in-via-d-estinzione,I ghiacciai alpini in via d'estinzione | Euronews,I ghiacciai alpini in via d'estinzione. In collaborazione con Condividi questo articolo. Copia e incolla il codice embed del video qui sotto: ... Dal 1850 in Svizzera sono scomparsi più di 500 ...,I ghiacciai alpini in via d'estinzione | Euronews. I ghiacciai alpini in via d'estinzione. In collaborazione con Condividi questo articolo. Copia e incolla il codice embed del video qui sotto: ... Dal 1850 in Svizzera sono scomparsi più di 500 ...,7,NR,NC
I ghiacciai in via di estinzione,http://www.ilpopolano.com/i-ghiacciai-in-via-di-estinzione/,I GHIACCIAI IN VIA DI ESTINZIONE - Il Popolano,"Ghiacciai “in via di estinzione” significa anche meno acqua per milioni di persone, meno energia idroelettrica e meno acqua per le colture. “Tenendo presente le conseguenze socio-economiche, il destino dei ghiacciai in un clima futuro è qualcosa che l’Esa considera seriamente – spiega Mark Drinkwater, Senior Advisor di criosfera e ...","I GHIACCIAI IN VIA DI ESTINZIONE - Il Popolano. Ghiacciai “in via di estinzione” significa anche meno acqua per milioni di persone, meno energia idroelettrica e meno acqua per le colture. “Tenendo presente le conseguenze socio-economiche, il destino dei ghiacciai in un clima futuro è qualcosa che l’Esa considera seriamente – spiega Mark Drinkwater, Senior Advisor di criosfera e ...",8,NR,NC
I ghiacciai in via di estinzione,https://www.hellogreen.it/10-animali-in-via-di-estinzione-a-causa-dei-cambiamenti-climatici-e-della-deforestazione/,Animali in via di estinzione a causa dei cambiamenti climatici,"Animali in via di estinzione: quali sono le specie più a rischio e le principali cause del loro lento declino. Cambiamenti climatici, aumento della temperatura, scioglimento dei ghiacci, e anche l’opera dell’uomo stanno mettendo a serio repentaglio moltissime specie animali, che sono costretti a vivere in habitat sempre più ridotti e ostili.","Animali in via di estinzione a causa dei cambiamenti climatici. Animali in via di estinzione: quali sono le specie più a rischio e le principali cause del loro lento declino. Cambiamenti climatici, aumento della temperatura, scioglimento dei ghiacci, e anche l’opera dell’uomo stanno mettendo a serio repentaglio moltissime specie animali, che sono costretti a vivere in habitat sempre più ridotti e ostili.",9,NR,NC
I ghiacciai in via di estinzione,https://stream24.ilsole24ore.com/gallery/italia/alpi-ghiacciai-via-estinzione/ACXzUJn,"Alpi, i ghiacciai in via di estinzione - Il Sole 24 ORE","Alpi, i ghiacciai in via di estinzione. 12 foto. Italia. San Siro, ecco «Cattedrale» e «Due Anelli»: i progetti in corsa per il nuovo stadio. 23 foto. clima. Monte Bianco, il ghiacciaio rischia di crollare. 13 foto. Ultime dalla sezione. le iniziative in campo.","Alpi, i ghiacciai in via di estinzione - Il Sole 24 ORE. Alpi, i ghiacciai in via di estinzione. 12 foto. Italia. San Siro, ecco «Cattedrale» e «Due Anelli»: i progetti in corsa per il nuovo stadio. 23 foto. clima. Monte Bianco, il ghiacciaio rischia di crollare. 13 foto. Ultime dalla sezione. le iniziative in campo.",10,NR,NC
Dove si trova l isola di plastica,https://it.wikipedia.org/wiki/Pacific_Trash_Vortex,Pacific Trash Vortex - Wikipedia Pacific Trash Vortex - Wikipedia Pacific Trash Vortex - Wikipedia,"Il Pacific Trash Vortex, noto anche come grande chiazza di immondizia del Pacifico (Great Pacific Garbage Patch) o semplicemente isola di plastica, è un enorme accumulo di spazzatura galleggiante (composto soprattutto da plastica) situato nell'Oceano Pacifico, approssimativamente fra il 135º e il 155º meridiano Ovest e fra il 35º e il 42º parallelo Nord. Il Pacific Trash Vortex, noto anche come grande chiazza di immondizia del Pacifico (Great Pacific Garbage Patch) o semplicemente isola di plastica, è un enorme accumulo di spazzatura galleggiante (composto soprattutto da plastica) situato nell'Oceano Pacifico, approssimativamente fra il 135º e il 155º meridiano Ovest e fra il 35º e il 42º parallelo Nord. Il Pacific Trash Vortex, noto anche come grande chiazza di immondizia del Pacifico (Great Pacific Garbage Patch) o semplicemente isola di plastica, è un enorme accumulo di spazzatura galleggiante (composto soprattutto da plastica) situato nell'Oceano Pacifico, approssimativamente fra il 135º e il 155º meridiano Ovest e fra il 35º e il 42º parallelo Nord.","Pacific Trash Vortex - Wikipedia Pacific Trash Vortex - Wikipedia Pacific Trash Vortex - Wikipedia. Il Pacific Trash Vortex, noto anche come grande chiazza di immondizia del Pacifico (Great Pacific Garbage Patch) o semplicemente isola di plastica, è un enorme accumulo di spazzatura galleggiante (composto soprattutto da plastica) situato nell'Oceano Pacifico, approssimativamente fra il 135º e il 155º meridiano Ovest e fra il 35º e il 42º parallelo Nord. Il Pacific Trash Vortex, noto anche come grande chiazza di immondizia del Pacifico (Great Pacific Garbage Patch) o semplicemente isola di plastica, è un enorme accumulo di spazzatura galleggiante (composto soprattutto da plastica) situato nell'Oceano Pacifico, approssimativamente fra il 135º e il 155º meridiano Ovest e fra il 35º e il 42º parallelo Nord. Il Pacific Trash Vortex, noto anche come grande chiazza di immondizia del Pacifico (Great Pacific Garbage Patch) o semplicemente isola di plastica, è un enorme accumulo di spazzatura galleggiante (composto soprattutto da plastica) situato nell'Oceano Pacifico, approssimativamente fra il 135º e il 155º meridiano Ovest e fra il 35º e il 42º parallelo Nord.",1,R,C
Dove si trova l isola di plastica,https://www.repubblica.it/ambiente/2018/03/22/news/l_isola_di_plastica_del_pacifico_e_sempre_piu_enorme-191962940/,"Pacifico: l'isola di plastica è sempre più enorme. ""Una ... Pacifico: l'isola di plastica è sempre più enorme. ""Una ...","NON ci si può ancora piantare l’ombrellone, ma di questo passo ci arriveremo. La grande isola di plastica del Pacifico sta diventando sempre più grande. Le navi e gli aerei della fondazione ... NON ci si può ancora piantare l’ombrellone, ma di questo passo ci arriveremo. La grande isola di plastica del Pacifico sta diventando sempre più grande. Le navi e gli aerei della fondazione ...","Pacifico: l'isola di plastica è sempre più enorme. ""Una ... Pacifico: l'isola di plastica è sempre più enorme. ""Una .... NON ci si può ancora piantare l’ombrellone, ma di questo passo ci arriveremo. La grande isola di plastica del Pacifico sta diventando sempre più grande. Le navi e gli aerei della fondazione ... NON ci si può ancora piantare l’ombrellone, ma di questo passo ci arriveremo. La grande isola di plastica del Pacifico sta diventando sempre più grande. Le navi e gli aerei della fondazione ...",2,R,C
Dove si trova l isola di plastica,http://www.ilbullone.org/lisola-di-plastica/,L’ISOLA DI PLASTICA – Il Bullone,"Immagine in evidenza di: www.lifegate.it. Tra il Nord America e l’Asia, si trova un’isola piuttosto particolare perché non è formata da rocce, pianure, boschi, ma solo e soltanto da rifiuti, plastica in particolare.Si tratta del “Pacific Trash Vortex” (PTV), la cui estensione è stata stimata tra i 700.000 e i 10 milioni di Km 2.Sebbene sia stata scoperta nel 1988, le misurazioni per ...","L’ISOLA DI PLASTICA – Il Bullone. Immagine in evidenza di: www.lifegate.it. Tra il Nord America e l’Asia, si trova un’isola piuttosto particolare perché non è formata da rocce, pianure, boschi, ma solo e soltanto da rifiuti, plastica in particolare.Si tratta del “Pacific Trash Vortex” (PTV), la cui estensione è stata stimata tra i 700.000 e i 10 milioni di Km 2.Sebbene sia stata scoperta nel 1988, le misurazioni per ...",3,NR,NC
Dove si trova l isola di plastica,https://www.youtube.com/watch?v=mTpNHTABKkM,UN'ISOLA DI PLASTICA NELL'OCEANO PACIFICO!! DA VEDERE ...,Questo è il risultato di atteggiamenti sbagliati e di cattive abitudini della nostra società. ... UN'ISOLA DI PLASTICA NELL'OCEANO PACIFICO!! DA VEDERE!! ... La seconda isola di plastica del ...,UN'ISOLA DI PLASTICA NELL'OCEANO PACIFICO!! DA VEDERE .... Questo è il risultato di atteggiamenti sbagliati e di cattive abitudini della nostra società. ... UN'ISOLA DI PLASTICA NELL'OCEANO PACIFICO!! DA VEDERE!! ... La seconda isola di plastica del ...,4,NR,NC
Dove si trova l isola di plastica,https://it.blastingnews.com/ambiente/2018/03/video/lisola-di-plastica-nel-mezzo-delloceano-pacifico-004894737.html,L'isola di plastica nel mezzo dell'oceano Pacifico,L'isola di plastica nel mezzo dell'oceano Pacifico L'isola di rifiuti continua ad aumentare e ora ha assunto le dimensioni di 3 volte la superficie della Francia. 30 marzo 2018.,L'isola di plastica nel mezzo dell'oceano Pacifico. L'isola di plastica nel mezzo dell'oceano Pacifico L'isola di rifiuti continua ad aumentare e ora ha assunto le dimensioni di 3 volte la superficie della Francia. 30 marzo 2018.,5,NR,NC
Dove si trova l isola di plastica,https://www.youtube.com/watch?v=ZgRsgmWTIJQ,Nell'Oceano Pacifico galleggia un'isola di plastica grande ...,Nelle acque dell’Oceano Pacifico tra la California e le Hawaii galleggia una gigantesca isola di plastica. È grande tre volte la Francia ed è formata da oggetti risalenti anche agli anni ’70.,Nell'Oceano Pacifico galleggia un'isola di plastica grande .... Nelle acque dell’Oceano Pacifico tra la California e le Hawaii galleggia una gigantesca isola di plastica. È grande tre volte la Francia ed è formata da oggetti risalenti anche agli anni ’70.,6,NR,NC
